Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
54,PrimeZig,1,devblok,4532,5.00015,1,base,yes,8,906.37281
55,PrimeHaskell,1,fatho/vector,4524,5.00079,1,base,no,8,904.65706
56,PrimeAda,1,BoopBeepBoopBeep,4486,5.00109,1,base,no,,897.00472
57,PrimeBASIC,1,rbergen_8of30,4395,5.00100,1,wheel,yes,1,878.82424
58,PrimeCSharp,1,kinematics_raw6,4384,5.00090,1,wheel,yes,1,876.64220
59,PrimeCSharp,1,kinematics_raw32,4310,5.00106,1,base,yes,1,861.81729
60,PrimeAssemblyScript,1,donmahallem,4298,5.00000,1,base,yes,,859.60000
61,PrimeCPP,2,davepl_par,16756,5.00015,4,base,yes,1,837.77487
62,PrimeD,2,BradleyChatha-Single-SieveCT,4152,5.00124,1,base,no,1,830.19411
63,PrimeNodeJS,1,rogiervandam,4125,5.00030,1,base,yes,1,824.95027
64,PrimeNim,1,marghidanu,4113,5.00098,1,base,yes,8,822.43854
65,PrimeC,2,danielspaangberg_1of2_par,15992,5.00005,4,base,yes,1,799.59168
66,PrimeD,1,eagerestwolf,3978,5.00000,1,base,yes,8,795.60000
67,PrimeCSharp,1,kinematics_rawd,3932,5.00042,1,base,yes,1,786.33395
68,PrimeNodeJS,1,rogiervandam,7907,5.05725,2,base,yes,1,781.74929
69,PrimeD,2,BradleyChatha-Single-SieveRT,3906,5.00087,1,base,yes,1,781.06409
70,PrimeCSharp,1,kinematics_raw,3893,5.00067,1,base,yes,1,778.49568
